Numero de Threads,Tamanho do Array,Amostra,Tempo de Execucao (ms)
2,100,1,6
2,100,2,1
2,100,3,0
2,100,4,0
2,100,5,0
2,10000,1,41
2,10000,2,23
2,10000,3,22
2,10000,4,25
2,10000,5,25
2,100000,1,3317
2,100000,2,3306
2,100000,3,3189
2,100000,4,3132
2,100000,5,3122
4,100,1,1
4,100,2,0
4,100,3,1
4,100,4,0
4,100,5,0
4,10000,1,21
4,10000,2,20
4,10000,3,20
4,10000,4,20
4,10000,5,19
4,100000,1,2044
4,100000,2,2069
4,100000,3,2048
4,100000,4,2070
4,100000,5,2065
8,100,1,1
8,100,2,0
8,100,3,1
8,100,4,1
8,100,5,0
8,10000,1,20
8,10000,2,20
8,10000,3,20
8,10000,4,19
8,10000,5,19
8,100000,1,1883
8,100000,2,1874
8,100000,3,1877
8,100000,4,1874
8,100000,5,1866
12,100,1,1
12,100,2,1
12,100,3,1
12,100,4,1
12,100,5,0
12,10000,1,20
12,10000,2,20
12,10000,3,20
12,10000,4,20
12,10000,5,20
12,100000,1,1852
12,100000,2,1855
12,100000,3,1861
12,100000,4,1849
12,100000,5,1859
