Numero de Threads,Tamanho do Array,Amostra,Tempo de Execucao (ms)
2,100,1,7
2,100,2,0
2,100,3,0
2,100,4,0
2,100,5,1
2,10000,1,17
2,10000,2,4
2,10000,3,4
2,10000,4,4
2,10000,5,4
2,100000,1,375
2,100000,2,362
2,100000,3,363
2,100000,4,358
2,100000,5,362
4,100,1,0
4,100,2,1
4,100,3,0
4,100,4,1
4,100,5,0
4,10000,1,5
4,10000,2,4
4,10000,3,6
4,10000,4,5
4,10000,5,4
4,100000,1,396
4,100000,2,399
4,100000,3,403
4,100000,4,396
4,100000,5,411
8,100,1,0
8,100,2,1
8,100,3,1
8,100,4,0
8,100,5,1
8,10000,1,5
8,10000,2,5
8,10000,3,5
8,10000,4,5
8,10000,5,4
8,100000,1,440
8,100000,2,441
8,100000,3,437
8,100000,4,438
8,100000,5,441
12,100,1,1
12,100,2,1
12,100,3,1
12,100,4,1
12,100,5,1
12,10000,1,6
12,10000,2,5
12,10000,3,6
12,10000,4,5
12,10000,5,5
12,100000,1,498
12,100000,2,457
12,100000,3,455
12,100000,4,464
12,100000,5,453
