Numero de Threads,Tamanho do Array,Amostra,Tempo de Execucao (ms)
2,100,1,1
2,100,2,0
2,100,3,1
2,100,4,0
2,100,5,0
2,10000,1,3
2,10000,2,1
2,10000,3,2
2,10000,4,2
2,10000,5,1
2,100000,1,12
2,100000,2,6
2,100000,3,6
2,100000,4,3
2,100000,5,3
4,100,1,0
4,100,2,0
4,100,3,0
4,100,4,0
4,100,5,0
4,10000,1,1
4,10000,2,0
4,10000,3,1
4,10000,4,1
4,10000,5,1
4,100000,1,6
4,100000,2,3
4,100000,3,2
4,100000,4,3
4,100000,5,5
8,100,1,0
8,100,2,0
8,100,3,0
8,100,4,0
8,100,5,0
8,10000,1,0
8,10000,2,1
8,10000,3,1
8,10000,4,1
8,10000,5,1
8,100000,1,2
8,100000,2,1
8,100000,3,2
8,100000,4,1
8,100000,5,2
12,100,1,0
12,100,2,1
12,100,3,0
12,100,4,0
12,100,5,0
12,10000,1,1
12,10000,2,0
12,10000,3,0
12,10000,4,1
12,10000,5,0
12,100000,1,2
12,100000,2,2
12,100000,3,1
12,100000,4,2
12,100000,5,2
